caldt,vwretd,ewretd
19970630,0.044103,0.038820
19970731,0.080388,0.079766
19970829,-0.054970,-0.028003
19970930,0.053886,0.051665
19971031,-0.032605,-0.043194
19971128,0.046321,0.031342
19971231,0.017147,0.015319
19980130,0.011994,-0.002326
19980227,0.071956,0.078865
19980331,0.051336,0.050179
19980430,0.011275,0.004209
19980529,-0.017674,-0.024932
19980630,0.040970,0.010836
19980731,-0.010109,-0.044451
19980831,-0.143124,-0.148456
19980930,0.063176,0.060341
19981030,0.080111,0.088840
19981130,0.062164,0.050710
19981231,0.059673,0.029082
19990129,0.042800,0.010847
19990226,-0.031935,-0.019371
19990331,0.038979,0.021855
19990430,0.037559,0.096934
19990528,-0.023159,-0.001112
19990630,0.054431,0.041249
19990730,-0.030220,-0.034555
19990831,-0.004989,-0.022216
19990930,-0.028079,-0.039403
19991029,0.064238,0.030970
19991130,0.020822,-0.001732
19991231,0.062579,0.044205
20000131,-0.049606,-0.057249
20000229,-0.017459,-0.045099
20000331,0.098492,0.109941
20000428,-0.031585,0.008073
20000531,-0.022304,0.016657
20000630,0.026219,-0.019605
20000731,-0.012795,0.003866
20000831,0.062594,0.074144
20000929,-0.052088,-0.013813
20001031,-0.004120,0.021097
20001130,-0.078268,-0.045453
20001229,0.005720,0.066751
20010131,0.032375,0.053414
20010228,-0.090952,-0.044749
20010330,-0.063706,-0.049836
20010430,0.077825,0.084729
20010531,0.006870,0.017687
20010629,-0.024506,-0.015805
20010731,-0.009317,-0.009180
20010831,-0.063435,-0.043659
20010928,-0.080361,-0.124472
20011031,0.019542,0.042117
20011130,0.078787,0.102273
20011231,0.009051,0.030572
20020131,-0.014324,-0.002527
20020228,-0.019481,-0.011293
20020328,0.037572,0.067365
20020430,-0.061001,-0.036342
20020531,-0.007800,-0.012256
20020628,-0.071349,-0.080675
20020731,-0.073987,-0.105229
20020830,0.007061,0.012241
20020930,-0.108965,-0.115309
20021031,0.088599,0.073063
20021129,0.059019,0.110251
20021231,-0.058834,-0.051344
20030131,-0.026579,-0.025525
20030228,-0.015246,-0.022303
20030331,0.010308,0.005085
20030430,0.082774,0.103509
20030530,0.053251,0.096073
20030630,0.012816,0.007649
20030731,0.017932,0.028370
20030829,0.019597,0.044604
20030930,-0.010737,-0.016561
20031031,0.055560,0.070988
20031128,0.009259,0.021267
20031231,0.051780,0.053166
20040130,0.019078,0.024211
20040227,0.014403,0.020902
20040331,-0.014982,-0.005810
20040430,-0.015584,-0.024546
20040528,0.013629,0.019374
